iter	Passed	Remaining
173	2030	3804
174	2041	3792
175	2052	3779
176	2062	3764
177	2073	3750
178	2087	3742
179	2098	3730
180	2109	3718
181	2123	3709
182	2133	3696
183	2144	3682
184	2157	3674
185	2167	3659
186	2177	3645
187	2187	3630
188	2197	3616
189	2208	3603
190	2218	3589
191	2232	3581
192	2243	3568
193	2253	3554
194	2268	3548
195	2284	3543
196	2300	3537
197	2310	3523
198	2320	3509
199	2330	3496
200	2344	3487
201	2354	3473
202	2365	3460
203	2380	3454
204	2391	3442
205	2403	3430
206	2420	3425
207	2431	3413
208	2442	3401
209	2456	3392
210	2467	3378
211	2477	3366
212	2488	3353
213	2497	3337
214	2507	3324
215	2518	3311
216	2541	3313
217	2555	3306
218	2565	3292
219	2577	3280
220	2588	3268
221	2603	3260
222	2614	3248
223	2622	3231
224	2631	3216
225	2640	3200
226	2650	3187
227	2661	3174
228	2676	3166
229	2694	3162
230	2707	3153
231	2718	3140
232	2728	3126
233	2743	3118
234	2754	3106
235	2765	3094
236	2777	3082
237	2787	3068
238	2800	3058
239	2827	3063
240	2846	3059
241	2860	3049
242	2870	3036
243	2884	3026
244	2896	3014
245	2905	3000
246	2917	2988
247	2933	2980
248	2952	2976
249	2964	2964
250	2975	2952
251	2987	2939
252	2998	2926
253	3008	2913
254	3021	2903
255	3032	2890
256	3043	2878
257	3054	2864
258	3069	2855
259	3093	2855
260	3111	2849
261	3122	2836
262	3132	2822
263	3142	2808
264	3153	2796
265	3166	2785
266	3177	2772
267	3188	2760
268	3198	2746
269	3208	2733
270	3218	2719
271	3229	2706
272	3245	2698
273	3256	2685
274	3268	2673
275	3278	2660
276	3287	2646
277	3298	2634
278	3313	2624
279	3324	2612
280	3334	2598
281	3344	2585
282	3355	2573
283	3367	2561
284	3397	2562
285	3410	2551
286	3420	2538
287	3429	2524
288	3443	2513
289	3459	2505
290	3470	2492
291	3481	2479
292	3491	2466
293	3502	2453
294	3514	2442
295	3525	2429
296	3538	2418
297	3548	2405
298	3559	2392
299	3570	2380
300	3581	2367
301	3592	2355
302	3602	2342
303	3618	2332
304	3628	2319
305	3639	2307
306	3649	2294
307	3660	2281
308	3671	2269
309	3685	2258
310	3696	2246
311	3708	2234
312	3719	2222
313	3731	2210
314	3741	2197
315	3757	2187
316	3768	2175
317	3780	2163
318	3792	2151
319	3803	2139
320	3814	2126
321	3829	2116
322	3840	2104
323	3854	2093
324	3866	2082
325	3878	2069
326	3889	2057
327	3903	2047
328	3914	2034
329	3928	2024
330	3939	2011
331	3950	1999
332	3961	1986
333	3971	1974
334	3989	1965
335	4000	1952
336	4011	1940
337	4022	1927
338	4032	1915
339	4043	1902
340	4056	1891
341	4069	1879
342	4080	1867
343	4092	1855
344	4103	1843
345	4113	1830
346	4121	1817
347	4134	1806
348	4145	1793
349	4155	1780
350	4165	1768
351	4175	1755
352	4186	1743
353	4194	1730
354	4206	1718
355	4215	1704
356	4226	1692
357	4236	1680
358	4247	1668
359	4258	1655
360	4267	1643
361	4281	1632
362	4292	1619
363	4301	1607
364	4312	1594
365	4323	1582
366	4333	1570
367	4347	1559
368	4359	1547
369	4369	1535
370	4381	1523
371	4391	1511
372	4402	1498
373	4413	1486
374	4429	1476
375	4443	1465
376	4455	1453
377	4467	1441
378	4477	1429
379	4487	1417
380	4500	1405
381	4510	1393
382	4520	1380
383	4532	1369
384	4542	1356
385	4554	1345
386	4575	1335
387	4593	1326
388	4604	1313
389	4620	1303
390	4634	1291
391	4645	1279
392	4656	1267
393	4667	1255
394	4679	1243
395	4690	1231
396	4703	1220
397	4720	1209
398	4731	1197
399	4743	1185
400	4755	1174
401	4766	1162
402	4779	1150
403	4794	1139
404	4804	1126
405	4814	1114
406	4824	1102
407	4834	1090
408	4846	1078
